,Brightness,Canny Edges,Dotted Line,Fog,Glass Blur,Identity,Impulse Noise,Motion Blur,Rotate,Avg
Mixup-0.25 BasicNet,0.48749998211860657,0.7481666803359985,0.9736666679382324,0.737500011920929,0.9078333377838135,0.9946666359901428,0.8734999895095825,0.89083331823349,0.9118333458900452,0.8361666633023156
Mixup-0.25-FGSM-0.3 BasicNet,0.518666684627533,0.8821666836738586,0.9316666722297668,0.5859999656677246,0.9578333497047424,0.9828333258628845,0.7361666560173035,0.9486666321754456,0.9074999690055847,0.8279444376627604
Mixup-0.25-L_inf-PGD-0.3-40 BasicNet,0.6683333516120911,0.8771666288375854,0.9301666617393494,0.6473333239555359,0.9469999670982361,0.9826666712760925,0.7335000038146973,0.9433333277702332,0.8980000019073486,0.8474999931123521
Mixup-1 BasicNet,0.7350000143051147,0.6959999799728394,0.9511666297912598,0.7835000157356262,0.8633333444595337,0.9883333444595337,0.7713333368301392,0.9049999713897705,0.8988333344459534,0.8436111079321967
Mixup-1-FGSM-0.3 BasicNet,0.5055000185966492,0.8209999799728394,0.8998333215713501,0.5293333530426025,0.9399999976158142,0.9735000133514404,0.7728333473205566,0.9021666646003723,0.8661666512489319,0.8011481497022841
Mixup-1-L_inf-PGD-0.3-40 BasicNet,0.8051666617393494,0.8970000147819519,0.9369999766349792,0.6399999856948853,0.9258333444595337,0.9714999794960022,0.7749999761581421,0.9113333225250244,0.8715000152587891,0.8593703640831841
Mixup-2 BasicNet,0.45499998331069946,0.6578333377838135,0.9553333520889282,0.6173333525657654,0.8966666460037231,0.9879999756813049,0.7674999833106995,0.9365000128746033,0.8921666741371155,0.796259257528517
Mixup-4 BasicNet,0.7739999890327454,0.7581666707992554,0.953499972820282,0.8309999704360962,0.8779999613761902,0.9851666688919067,0.7748333215713501,0.890999972820282,0.8788333535194397,0.858277764585283
Mixup-4-FGSM-0.3 BasicNet,0.49816665053367615,0.8805000185966492,0.9071666598320007,0.5111666321754456,0.9099999666213989,0.9599999785423279,0.6353332996368408,0.8945000171661377,0.8376666307449341,0.7816110948721567
Mixup-4-L_inf-PGD-0.3-40 BasicNet,0.5985000133514404,0.8851666450500488,0.9131666421890259,0.5295000076293945,0.8893333077430725,0.9571666717529297,0.765500009059906,0.8485000133514404,0.8324999809265137,0.8021481434504191
L_inf-PGD-0.3-40-Cutout-7-1 BasicNet,0.5948333144187927,0.8955000042915344,0.9076666831970215,0.4309999942779541,0.9421666860580444,0.9863333106040955,0.6766666769981384,0.9546666741371155,0.8974999785423279,0.8095925913916694
L_inf-PGD-0.3-40-Cutout-7-2 BasicNet,0.7551666498184204,0.8815000057220459,0.9085000157356262,0.6035000085830688,0.9421666860580444,0.9878333210945129,0.6341666579246521,0.9415000081062317,0.8918333053588867,0.8384629620446099
L_inf-PGD-0.3-40-Cutout-10-1 BasicNet,0.19049999117851257,0.8921666741371155,0.8666666746139526,0.28466665744781494,0.9303333163261414,0.9873332977294922,0.5648333430290222,0.9124999642372131,0.8978333473205566,0.7252036962244246
L_inf-PGD-0.3-40-Cutout-10-2 BasicNet,0.42916667461395264,0.8813333511352539,0.9074999690055847,0.3591666519641876,0.9384999871253967,0.984499990940094,0.6266666650772095,0.950333297252655,0.8931666612625122,0.7744814720418718
L_inf-PGD-0.3-50 BasicNet,0.5871666669845581,0.8798333406448364,0.9056666493415833,0.5205000042915344,0.9431666731834412,0.9871666431427002,0.6653333306312561,0.9605000019073486,0.9083333015441895,0.8175185124079386
L_inf-PGD-0.4-30 BasicNet,0.23466666042804718,0.8528333306312561,0.8644999861717224,0.2916666567325592,0.9321666359901428,0.9889999628067017,0.606499969959259,0.9548333287239075,0.9020000100135803,0.7364629490507973
L_inf-PGD-0.4-40 BasicNet,0.18699999153614044,0.8898333311080933,0.8463333249092102,0.31066665053367615,0.937333345413208,0.9861666560173035,0.5988333225250244,0.9508333206176758,0.9098333120346069,0.7352036949661043
L_inf-PGD-0.4-50 BasicNet,0.1848333328962326,0.8844999670982361,0.8801666498184204,0.3336666524410248,0.9173333048820496,0.9856666326522827,0.5768333077430725,0.9386666417121887,0.9006666541099548,0.733592571483718
Mixup-0.5 BasicNet,0.37416666746139526,0.6779999732971191,0.9648333191871643,0.6043333411216736,0.8843333125114441,0.9934999942779541,0.7599999904632568,0.903499960899353,0.9124999642372131,0.7861296137173971
FGSM-0.4 BasicNet,0.6088333129882812,0.8675000071525574,0.9241666793823242,0.5651666522026062,0.9458333253860474,0.9869999885559082,0.7384999990463257,0.949833333492279,0.8941666483879089,0.8312222162882487
FGSM-0.5 BasicNet,0.3935000002384186,0.9006666541099548,0.8661666512489319,0.6190000176429749,0.949833333492279,0.9858333468437195,0.6101666688919067,0.9558333158493042,0.906333327293396,0.7985925906234317
L_inf PGD-0.340-Mixup-0.25 BasicNet,0.7096666693687439,0.8726666569709778,0.893833339214325,0.5776666402816772,0.9521666765213013,0.9861666560173035,0.6776666641235352,0.9513333439826965,0.8991666436195374,0.8355925877888998
L_inf PGD-0.340-Mixup-1 BasicNet,0.5798333287239075,0.875166654586792,0.9323333501815796,0.5056666731834412,0.937833309173584,0.9781666398048401,0.8215000033378601,0.9323333501815796,0.8733333349227905,0.8262407382329305
L_inf PGD-0.340-Mixup-4 BasicNet,0.9143333435058594,0.8956666588783264,0.9313333034515381,0.8411666750907898,0.9179999828338623,0.9816666841506958,0.8579999804496765,0.9241666793823242,0.8973333239555359,0.9068518479665121
L_inf-PGD-0.2-30 BasicNet,0.9296666383743286,0.8691666722297668,0.9468333125114441,0.7308333516120911,0.9639999866485596,0.9916666746139526,0.956333339214325,0.9598333239555359,0.9193333387374878,0.9186296264330546
